,Label
0,positif
1,positif
2,positif
3,negatif
4,positif
5,positif
6,positif
7,negatif
8,negatif
9,negatif
10,positif
11,negatif
12,positif
13,negatif
14,positif
15,positif
16,negatif
17,positif
18,positif
19,positif
20,negatif
21,positif
22,positif
23,positif
24,negatif
25,positif
26,positif
27,positif
28,positif
29,positif
30,positif
31,positif
32,positif
33,positif
34,positif
35,positif
36,negatif
37,positif
38,negatif
39,negatif
40,negatif
41,negatif
42,positif
43,positif
44,positif
45,positif
46,positif
47,positif
48,positif
49,positif
50,positif
51,negatif
52,positif
53,positif
54,positif
55,negatif
56,positif
57,negatif
58,positif
59,negatif
60,positif
61,positif
62,negatif
63,positif
64,positif
65,negatif
66,positif
67,negatif
68,positif
69,positif
70,positif
71,positif
72,positif
73,negatif
74,positif
75,positif
76,positif
77,negatif
78,positif
79,positif
80,positif
81,negatif
82,positif
83,positif
84,positif
85,positif
86,positif
87,positif
88,negatif
89,negatif
90,positif
91,positif
92,positif
93,positif
94,positif
95,positif
96,negatif
97,positif
98,negatif
99,negatif
100,positif
101,negatif
102,positif
103,positif
104,positif
105,negatif
106,positif
107,positif
108,positif
109,negatif
110,positif
111,negatif
112,positif
113,negatif
114,negatif
115,positif
116,positif
117,positif
118,positif
119,positif
120,positif
121,positif
122,positif
123,negatif
124,negatif
125,positif
126,positif
127,negatif
128,positif
129,positif
130,negatif
131,positif
132,positif
133,negatif
134,positif
135,positif
136,positif
137,negatif
138,positif
139,negatif
140,positif
141,positif
142,positif
143,positif
144,positif
145,negatif
146,negatif
147,positif
148,positif
149,positif
150,negatif
151,negatif
152,negatif
153,positif
154,negatif
155,positif
156,positif
157,positif
158,positif
159,negatif
160,negatif
161,negatif
162,positif
163,positif
164,positif
165,positif
166,positif
167,positif
168,negatif
169,positif
170,positif
171,negatif
172,positif
173,positif
174,positif
175,positif
176,negatif
177,positif
178,positif
179,positif
180,negatif
181,negatif
182,positif
183,positif
184,positif
185,positif
186,positif
187,positif
188,negatif
189,positif
190,positif
191,negatif
192,positif
193,positif
194,negatif
195,negatif
196,positif
197,positif
198,positif
199,negatif
200,positif
201,positif
202,positif
203,positif
204,negatif
205,positif
